"Platform","Year_of_Release","Critic_Score","Critic_Count","User_Score","User_Count","ConsoleCompany","TargetAudience","Category","Sales"
"X360","2012",77,47,5.6,39,"Xbox","Children","Sports",1.85695338177052
"X360","2009",73,69,8.2,141,"Xbox","Teen & Up","Action",1.96116135138184
"PS2","2006",55,41,7.2,25,"Sony","Children","Sports",1.54303349962092
"PS2","2003",51,9,7.5,6,"Sony","Children","Action",2
"X360","2008",88,41,8.4,61,"Xbox","Children","Sports",1.49071198499986
"Wii","2008",83,34,8.4,60,"Nintendo","Teen & Up","Action",2.42535625036333
"X360","2006",81,50,7.8,46,"Xbox","Teen & Up","Action",1.50755672288882
"X","2003",86,33,7.6,12,"Xbox","Teen & Up","Sports",1.54303349962092
"Wii","2007",62,16,6.7,12,"Nintendo","Children","Action",1.52498570332605
"GC","2006",60,10,6.5,4,"Nintendo","Children","Action",1.60128153805087
"PS2","2001",44,13,7,11,"Sony","Teen & Up","Action",2
"PS2","2006",83,36,8.4,105,"Sony","Teen & Up","Action",2
"PS3","2008",54,30,6.7,29,"Sony","Teen & Up","Action",2.29415733870562
"DS","2007",83,33,8.7,36,"Nintendo","Children","Big-Brain",2.42535625036333
"PS2","2008",73,7,6.5,37,"Sony","Children","Action",2
"PS2","2002",75,13,7.7,6,"Sony","Children","Misc",2
"PSP","2007",63,31,7.1,24,"Sony","Teen & Up","Big-Brain",1.66666666666667
"PSV","2012",71,60,7.5,169,"Sony","Teen & Up","Action",2
"PS3","2010",76,37,7.3,50,"Sony","Teen & Up","Big-Brain",2.35702260395516
"3DS","2012",78,60,7.8,113,"Nintendo","Children","Misc",2.1320071635561
"X360","2011",72,56,6,96,"Xbox","Teen & Up","Action",2
"PS2","2002",81,22,8.3,8,"Sony","Teen & Up","Big-Brain",2.04124145231932
"GBA","2001",88,20,9.1,26,"Nintendo","Children","Big-Brain",2.77350098112615
"Wii","2008",59,29,5.8,10,"Nintendo","Children","Sports",1.49071198499986
"X","2004",83,64,8.7,25,"Xbox","Teen & Up","Action",1.82574185835055
"X360","2012",68,19,6.4,22,"Xbox","Children","Sports",1.45864991497895
"PS","1997",66,11,8.2,9,"Sony","Children","Big-Brain",3.01511344577764
"PS4","2016",72,50,8.1,77,"Sony","Teen & Up","Action",2.04124145231932
"X360","2007",65,10,7.4,5,"Xbox","Children","Big-Brain",1.47441956154897
"X360","2006",89,61,8.1,141,"Xbox","Children","Sports",1.54303349962092
"PS2","2004",65,8,7.3,8,"Sony","Children","Action",2.04124145231932
"PS2","2004",68,37,8.9,46,"Sony","Teen & Up","Big-Brain",3.01511344577764
"X360","2007",80,42,8.2,30,"Xbox","Children","Sports",1.49071198499986
"PS2","2003",80,25,8.7,16,"Sony","Children","Sports",2.04124145231932
"GC","2004",82,30,8.9,17,"Nintendo","Teen & Up","Sports",1.62221421130763
"PS2","2005",67,21,9,26,"Sony","Children","Action",2.04124145231932
"PS4","2016",84,59,7.6,536,"Sony","Teen & Up","Big-Brain",2.29415733870562
"GBA","2001",84,17,8.4,16,"Nintendo","Children","Action",1.66666666666667
"X360","2009",69,79,7.3,86,"Xbox","Teen & Up","Action",2.08514414057075
"PS2","2005",64,42,7.8,19,"Sony","Teen & Up","Action",1.56173761888606
"PS2","2002",50,19,7.3,6,"Sony","Teen & Up","Action",2.04124145231932
"X360","2011",70,67,8.1,157,"Xbox","Teen & Up","Action",1.92450089729875
"DS","2004",61,46,5,6,"Nintendo","Children","Action",1.56173761888606
"Wii","2006",81,35,8,16,"Nintendo","Children","Sports",1.47441956154897
"3DS","2011",75,59,7.2,56,"Nintendo","Children","Sports",2.29415733870562
"DS","2009",83,35,8.4,33,"Nintendo","Children","Big-Brain",1.88982236504614
"3DS","2011",55,57,5.5,31,"Nintendo","Children","Action",1.96116135138184
